Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Antti Niemi, 34, PIT, 3, 3, 0, 3, 0, 16, 79, 63, .797, 7.49, 0, -0.5, 128, 0, .000, 2, , , 0, 1, 1, 0,2017-18
Antti Niemi, 34, FLA, 2, 0, 0, 1, 0, 5, 39, 34, .872, 5.11, 0, 0.0, 59, 0, , 0, , , 0, 0, 0, 0,2017-18
Anders Nilsson, 27, VAN, 27, 24, 7, 14, 4, 84, 850, 766, .901, 3.44, 2, 3.7, 1464, 8, .333, 5, 113, -9.40, 0, 1, 1, 0,2017-18
Ondrej Pavelec, 30, NYR, 19, 12, 4, 9, 1, 46, 510, 464, .910, 3.05, 1, 2.7, 904, 5, .417, 3, 103, -1.24, 0, 0, 0, 2,2017-18
Calvin Pickard, 25, TOR, 1, 1, 0, 0, 1, 4, 28, 24, .857, 3.83, 0, 0.0, 63, 0, .000, 0, , , 0, 0, 0, 0,2017-18
Carey Price, 30, MTL, 49, 48, 16, 26, 7, 148, 1487, 1339, .900, 3.11, 1, 6.4, 2855, 21, .438, 10, 113, -17.49, 0, 0, 0, 0,2017-18
Jonathan Quick, 32, LAK, 64, 63, 33, 28, 3, 147, 1867, 1720, .921, 2.40, 5, 12.2, 3677, 37, .587, 7, 90, 16.86, 0, 4, 4, 10,2017-18
Antti Raanta, 28, ARI, 47, 46, 21, 17, 6, 97, 1388, 1291, .930, 2.24, 3, 10.4, 2599, 32, .696, 6, 80, 24.82, 0, 0, 0, 0,2017-18
Tuukka Rask, 30, BOS, 54, 53, 34, 14, 5, 125, 1513, 1388, .917, 2.36, 3, 9.3, 3173, 30, .566, 6, 94, 7.79, 0, 2, 2, 4,2017-18
James Reimer, 29, FLA, 44, 42, 22, 14, 6, 120, 1373, 1253, .913, 2.99, 4, 7.7, 2411, 22, .524, 8, 100, 0.51, 0, 1, 1, 4,2017-18
Pekka Rinne, 35, NSH, 59, 59, 42, 13, 4, 134, 1840, 1706, .927, 2.31, 8, 13.2, 3475, 40, .678, 5, 83, 27.49, 0, 1, 1, 6,2017-18
David Rittich, 25, CGY, 21, 16, 8, 6, 3, 49, 512, 463, .904, 2.92, 0, 2.4, 1008, 10, .625, 3, 109, -4.06, 0, 0, 0, 14,2017-18
Juuse Saros, 22, NSH, 26, 23, 11, 5, 7, 61, 810, 749, .925, 2.45, 3, 5.6, 1497, 14, .609, 2, 86, 10.09, 0, 3, 3, 0,2017-18
Harri Sateri, 28, FLA, 9, 7, 4, 4, 0, 24, 271, 247, .911, 2.92, 0, 1.5, 493, 5, .714, 0, , , 0, 0, 0, 0,2017-18
Cory Schneider, 31, NJD, 40, 40, 17, 16, 6, 114, 1228, 1114, .907, 2.93, 1, 6.2, 2332, 19, .475, 7, 106, -6.22, 0, 0, 0, 0,2017-18
Mike Smith, 35, CGY, 55, 55, 25, 22, 6, 141, 1686, 1545, .916, 2.65, 3, 10.2, 3191, 32, .582, 9, 95, 6.98, 0, 2, 2, 8,2017-18
Alex Stalock, 30, MIN, 28, 23, 10, 10, 4, 71, 787, 716, .910, 2.85, 1, 4.2, 1495, 13, .565, 3, 103, -1.93, 0, 0, 0, 0,2017-18
Malcolm Subban, 24, VEG, 22, 19, 13, 4, 2, 55, 614, 559, .910, 2.68, 0, 3.3, 1230, 8, .421, 2, 102, -1.11, 0, 0, 0, 2,2017-18
Cam Talbot, 30, EDM, 67, 67, 31, 31, 3, 188, 2036, 1848, .908, 3.02, 1, 10.3, 3730, 32, .478, 11, 105, -9.30, 0, 1, 1, 8,2017-18
Daniel Taylor, 31, OTT, 1, 1, 0, 1, 0, 4, 34, 30, .882, 4.10, 0, 0.1, 58, 0, .000, 0, , , 0, 0, 0, 0,2017-18
Linus Ullmark, 24, BUF, 5, 3, 1, 2, 0, 8, 123, 115, .935, 2.00, 0, 1.0, 240, 2, .667, 0, , , 0, 0, 0, 0,2017-18
Semyon Varlamov, 29, COL, 51, 47, 24, 16, 6, 128, 1595, 1467, .920, 2.68, 2, 10.2, 2861, 28, .596, 5, 91, 11.99, 0, 0, 0, 2,2017-18
Andrei Vasilevskiy, 23, TBL, 65, 64, 44, 17, 3, 167, 2075, 1908, .920, 2.62, 8, 13.2, 3825, 36, .563, 8, 92, 15.12, 0, 2, 2, 14,2017-18
Cam Ward, 33, CAR, 43, 42, 23, 14, 4, 112, 1187, 1075, .906, 2.73, 2, 5.8, 2459, 21, .500, 10, 108, -7.82, 0, 0, 0, 14,2017-18
Scott Wedgewood, 25, ARI, 20, 17, 5, 9, 4, 63, 587, 524, .893, 3.45, 1, 2.0, 1097, 7, .412, 4, 122, -11.48, 0, 0, 0, 2,2017-18
Adam Wilcox, 25, BUF, 1, 0, 0, 1, 0, 0, 14, 14, 1.000, 0.00, 0, 0.2, 39, 0, , 0, , , 0, 0, 0, 0,2017-18
Jake Allen, 26, STL, 61, 60, 33, 20, 5, 138, 1620, 1482, .915, 2.42, 4, 9.8, 3418, 33, .550, 11, 98, 2.20, 0, 1, 1, 4,2016-17
Jorge Alves, 38, CAR, 1, 0, 0, 0, 0, 0, 0, 0, , 0.00, 0, 0.0, 0, 0, , 0, , , 0, 0, 0, 0,2016-17
Frederik Andersen, 27, TOR, 66, 66, 33, 16, 14, 169, 2052, 1883, .918, 2.67, 4, 13.1, 3799, 38, .576, 11, 95, 8.58, 0, 1, 1, 16,2016-17
Craig Anderson, 35, OTT, 40, 40, 25, 11, 4, 92, 1247, 1155, .926, 2.28, 5, 9.2, 2421, 25, .625, 4, 85, 15.92, 0, 1, 1, 0,2016-17
Richard Bachman, 29, VAN, 5, 5, 2, 3, 0, 13, 162, 149, .920, 2.64, 0, 1.1, 295, 2, .400, 0, , , 0, 0, 0, 0,2016-17
Jonathan Bernier, 28, ANA, 39, 33, 21, 7, 4, 83, 982, 899, .915, 2.50, 2, 6.0, 1993, 19, .576, 4, 98, 1.98, 0, 0, 0, 4,2016-17
Reto Berra, 30, FLA, 7, 4, 0, 5, 0, 18, 145, 127, .876, 3.45, 0, 0.2, 313, 0, .000, 2, , , 0, 0, 0, 0,2016-17
Jean-Francois Berube, 25, NYI, 14, 7, 3, 2, 2, 30, 271, 241, .889, 3.42, 0, 0.8, 527, 3, .429, 2, , , 0, 0, 0, 0,2016-17
Antoine Bibeau, 22, TOR, 2, 2, 1, 1, 0, 4, 55, 51, .927, 1.99, 0, 0.4, 121, 2, 1.000, 0, , , 0, 0, 0, 0,2016-17
Ben Bishop, 30, TOT, 39, 37, 18, 15, 5, 94, 1040, 946, .910, 2.54, 1, 5.7, 2223, 19, .514, 6, 104, -4.00, 0, 0, 0, 10,2016-17
Ben Bishop, 30, TBL, 32, 31, 16, 12, 3, 77, 870, 793, .911, 2.55, 1, 4.9, 1813, 16, .516, 4, 102, -1.71, 0, 0, 0, 8,2016-17
Ben Bishop, 30, LAK, 7, 6, 2, 3, 2, 17, 170, 153, .900, 2.49, 0, 0.7, 410, 3, .500, 2, , , 0, 0, 0, 2,2016-17
Sergei Bobrovsky, 28, CBJ, 63, 63, 41, 17, 5, 127, 1854, 1727, .931, 2.06, 7, 14.9, 3707, 41, .651, 5, 79, 33.45, 0, 0, 0, 8,2016-17
Laurent Brossoit, 23, EDM, 8, 4, 4, 1, 0, 11, 153, 142, .928, 1.99, 0, 1.2, 332, 2, .500, 0, , , 0, 0, 0, 0,2016-17
Peter Budaj, 34, TOT, 60, 55, 30, 21, 3, 120, 1414, 1294, .915, 2.18, 7, 8.6, 3308, 32, .582, 7, 98, 2.37, 0, 1, 1, 0,2016-17
Peter Budaj, 34, LAK, 53, 51, 27, 20, 3, 107, 1286, 1179, .917, 2.12, 7, 8.1, 3029, 31, .608, 7, 96, 4.29, 0, 1, 1, 0,2016-17
Peter Budaj, 34, TBL, 7, 4, 3, 1, 0, 13, 128, 115, .898, 2.80, 0, 0.5, 279, 1, .250, 0, , , 0, 0, 0, 0,2016-17
Jack Campbell, 25, LAK, 1, 0, 0, 0, 0, 0, 5, 5, 1.000, 0.00, 0, 0.1, 20, 0, , 0, , , 0, 0, 0, 0,2016-17
Eric Comrie, 21, WPG, 1, 1, 1, 0, 0, 4, 39, 35, .897, 4.05, 0, 0.2, 59, 0, .000, 0, , , 0, 0, 0, 0,2016-17
Mike Condon, 26, TOT, 41, 38, 19, 14, 6, 96, 1122, 1026, .914, 2.48, 5, 6.8, 2324, 19, .500, 7, 99, 1.10, 0, 0, 0, 4,2016-17
Mike Condon, 26, OTT, 40, 38, 19, 14, 6, 96, 1115, 1019, .914, 2.50, 5, 6.7, 2304, 19, .500, 7, 99, 0.49, 0, 0, 0, 4,2016-17
Mike Condon, 26, PIT, 1, 0, 0, 0, 0, 0, 7, 7, 1.000, 0.00, 0, 0.1, 20, 0, , 0, , , 0, 0, 0, 0,2016-17
Pheonix Copley, 25, STL, 1, 1, 0, 1, 0, 5, 29, 24, .828, 5.09, 0, -0.1, 59, 0, .000, 1, , , 0, 0, 0, 0,2016-17
Jared Coreau, 25, DET, 14, 14, 5, 4, 3, 41, 362, 321, .887, 3.46, 2, 1.0, 712, 5, .357, 6, 131, -9.67, 0, 0, 0, 0,2016-17
Corey Crawford, 32, CHI, 55, 55, 32, 18, 4, 138, 1691, 1553, .918, 2.55, 2, 11.0, 3247, 29, .527, 7, 94, 8.34, 0, 1, 1, 2,2016-17
Scott Darling, 28, CHI, 32, 27, 18, 5, 5, 67, 877, 810, .924, 2.38, 2, 6.2, 1689, 17, .630, 1, 88, 8.90, 0, 0, 0, 0,2016-17
Aaron Dell, 27, SJS, 20, 17, 11, 6, 1, 37, 533, 496, .931, 2.00, 1, 4.2, 1111, 12, .706, 1, 80, 9.13, 0, 0, 0, 0,2016-17
Louis Domingue, 24, ARI, 31, 26, 11, 15, 1, 82, 888, 806, .908, 3.08, 0, 4.6, 1599, 12, .462, 4, 107, -5.15, 0, 0, 0, 0,2016-17
Chris Driedger, 22, OTT, 1, 0, 0, 1, 0, 4, 15, 11, .733, 6.00, 0, -0.2, 40, 0, , 0, , , 0, 0, 0, 0,2016-17
Devan Dubnyk, 30, MIN, 65, 63, 40, 19, 5, 141, 1842, 1701, .923, 2.25, 5, 13.1, 3758, 39, .619, 7, 88, 18.41, 0, 0, 0, 10,2016-17
Brian Elliott, 31, CGY, 49, 45, 26, 18, 3, 121, 1338, 1217, .910, 2.55, 2, 7.3, 2844, 26, .578, 4, 104, -5.21, 0, 0, 0, 4,2016-17
Jhonas Enroth, 28, TOR, 6, 4, 0, 3, 1, 18, 141, 123, .872, 3.94, 0, 0.2, 274, 0, .000, 0, , , 0, 0, 0, 0,2016-17
Marc-Andre Fleury, 32, PIT, 38, 34, 18, 10, 7, 107, 1181, 1074, .909, 3.02, 1, 6.4, 2125, 16, .471, 5, 105, -4.80, 0, 0, 0, 6,2016-17
Anton Forsberg, 24, CBJ, 1, 1, 0, 1, 0, 4, 27, 23, .852, 4.10, 0, 0.0, 59, 0, .000, 0, , , 0, 0, 0, 0,2016-17
John Gibson, 23, ANA, 52, 49, 25, 16, 9, 109, 1437, 1328, .924, 2.22, 6, 10.3, 2950, 28, .571, 7, 88, 15.36, 0, 1, 1, 4,2016-17
Jon Gillies, 23, CGY, 1, 1, 1, 0, 0, 1, 28, 27, .964, 1.00, 0, 0.3, 60, 1, 1.000, 0, , , 0, 0, 0, 0,2016-17
Thomas Greiss, 31, NYI, 51, 49, 26, 18, 5, 126, 1453, 1327, .913, 2.69, 3, 8.6, 2813, 30, .612, 11, 100, -0.26, 0, 1, 1, 0,2016-17
Philipp Grubauer, 25, WSH, 24, 19, 13, 6, 2, 43, 585, 542, .926, 2.04, 3, 4.4, 1265, 13, .684, 1, 85, 7.63, 0, 0, 0, 0,2016-17
Kristers Gudlevskis, 24, TBL, 1, 0, 0, 0, 0, 0, 3, 3, 1.000, 0.00, 0, 0.0, 11, 0, , 0, , , 0, 0, 0, 0,2016-17
Jonas Gustavsson, 32, EDM, 7, 5, 1, 3, 1, 17, 139, 122, .878, 3.10, 0, 0.2, 329, 2, .400, 3, , , 0, 0, 0, 0,2016-17
Jaroslav Halak, 31, NYI, 28, 26, 12, 9, 5, 75, 885, 810, .915, 2.80, 2, 5.4, 1605, 14, .538, 3, 98, 1.59, 0, 1, 1, 0,2016-17
Andrew Hammond, 28, OTT, 6, 4, 0, 2, 0, 14, 86, 72, .837, 4.08, 0, -0.3, 206, 1, .250, 3, , , 0, 0, 0, 0,2016-17
Magnus Hellberg, 25, NYR, 2, 1, 1, 0, 0, 2, 28, 26, .929, 1.53, 0, 0.2, 79, 1, 1.000, 0, , , 0, 0, 0, 0,2016-17
Connor Hellebuyck, 23, WPG, 56, 53, 26, 19, 4, 146, 1572, 1426, .907, 2.89, 4, 8.1, 3034, 25, .472, 9, 107, -9.96, 0, 0, 0, 0,2016-17
Braden Holtby, 27, WSH, 63, 63, 42, 13, 6, 127, 1690, 1563, .925, 2.07, 9, 12.3, 3680, 39, .619, 8, 87, 19.25, 0, 0, 0, 0,2016-17
Jimmy Howard, 32, DET, 26, 24, 10, 11, 1, 49, 675, 626, .927, 2.10, 1, 5.1, 1397, 16, .667, 4, 84, 9.42, 0, 0, 0, 2,2016-17
Michael Hutchinson, 26, WPG, 28, 20, 9, 12, 3, 67, 690, 623, .903, 2.92, 1, 3.2, 1378, 8, .400, 1, 112, -7.29, 0, 0, 0, 0,2016-17
Carter Hutton, 31, STL, 30, 21, 13, 8, 2, 58, 663, 605, .913, 2.39, 4, 3.8, 1459, 11, .524, 3, 101, -0.62, 0, 1, 1, 4,2016-17
Tristan Jarry, 21, PIT, 1, 1, 0, 1, 0, 3, 25, 22, .880, 3.06, 0, 0.0, 59, 0, .000, 0, , , 0, 0, 0, 0,2016-17
Chad Johnson, 30, CGY, 36, 36, 18, 15, 1, 87, 969, 882, .910, 2.59, 3, 5.4, 2013, 18, .500, 7, 104, -3.14, 0, 0, 0, 0,2016-17
Martin Jones, 27, SJS, 65, 65, 35, 23, 6, 152, 1725, 1573, .912, 2.40, 2, 9.9, 3800, 39, .600, 8, 102, -2.72, 0, 0, 0, 0,2016-17
Anton Khudobin, 30, BOS, 16, 14, 7, 6, 1, 39, 405, 366, .904, 2.64, 0, 1.9, 885, 5, .357, 2, 111, -3.95, 0, 1, 1, 2,2016-17
Keith Kinkaid, 27, NJD, 26, 23, 8, 13, 3, 65, 778, 713, .916, 2.64, 1, 4.9, 1476, 12, .522, 4, 97, 2.33, 0, 1, 1, 0,2016-17
Joonas Korpisalo, 22, CBJ, 14, 13, 7, 5, 1, 38, 401, 363, .905, 2.88, 1, 2.0, 791, 6, .462, 2, 110, -3.30, 0, 0, 0, 0,2016-17
Darcy Kuemper, 26, MIN, 18, 17, 8, 5, 3, 55, 562, 507, .902, 3.13, 0, 2.6, 1053, 5, .294, 3, 113, -6.36, 0, 1, 1, 4,2016-17
Eddie Lack, 29, CAR, 20, 18, 8, 7, 3, 48, 492, 444, .902, 2.64, 1, 2.3, 1090, 9, .500, 3, 113, -5.42, 0, 0, 0, 0,2016-17
