Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Thatcher Demko, 22, VAN, 1, 1, 1, 0, 0, 4, 30, 26, .867, 3.91, 0, 0.0, 61, 0, .000, 0, , , 0, 0, 0, 0,2017-18
Casey DeSmith, 26, PIT, 14, 11, 6, 4, 1, 28, 356, 328, .921, 2.40, 1, 2.3, 700, 7, .636, 1, 90, 3.25, 0, 0, 0, 2,2017-18
Louis Domingue, 25, TOT, 19, 16, 7, 9, 1, 61, 578, 517, .894, 3.41, 0, 2.1, 1074, 6, .375, 3, 120, -10.27, 0, 0, 0, 2,2017-18
Louis Domingue, 25, TBL, 12, 11, 7, 3, 1, 33, 384, 351, .914, 2.89, 0, 2.2, 686, 6, .545, 0, 98, 0.70, 0, 0, 0, 2,2017-18
Louis Domingue, 25, ARI, 7, 5, 0, 6, 0, 28, 194, 166, .856, 4.33, 0, -0.1, 388, 0, .000, 3, , , 0, 0, 0, 0,2017-18
Devan Dubnyk, 31, MIN, 60, 59, 35, 16, 7, 145, 1769, 1624, .918, 2.52, 5, 11.0, 3450, 36, .610, 8, 93, 10.26, 0, 3, 3, 12,2017-18
Brian Elliott, 32, PHI, 43, 42, 23, 11, 7, 112, 1228, 1116, .909, 2.66, 1, 6.4, 2522, 20, .476, 6, 104, -4.22, 0, 1, 1, 2,2017-18
Dylan Ferguson, 19, VEG, 1, 0, 0, 0, 0, 1, 2, 1, .500, 6.50, 0, -0.1, 9, 0, , 0, , , 0, 0, 0, 0,2017-18
Marc-Andre Fleury, 33, VEG, 46, 46, 29, 13, 4, 100, 1376, 1276, .927, 2.24, 4, 9.9, 2673, 31, .674, 4, 83, 20.77, 0, 1, 1, 6,2017-18
Anton Forsberg, 25, CHI, 35, 30, 10, 16, 4, 85, 921, 836, .908, 2.97, 0, 4.7, 1715, 14, .467, 7, 105, -4.17, 0, 1, 1, 0,2017-18
Scott Foster, 36, CHI, 1, 0, 0, 0, 0, 0, 7, 7, 1.000, 0.00, 0, 0.1, 14, 0, , 0, , , 0, 0, 0, 0,2017-18
Alexandar Georgiev, 21, NYR, 10, 9, 4, 4, 1, 27, 331, 304, .918, 3.15, 0, 2.1, 515, 5, .556, 1, 93, 2.05, 0, 0, 0, 0,2017-18
Christopher Gibson, 25, NYI, 8, 8, 2, 3, 2, 26, 284, 258, .908, 3.65, 0, 1.5, 427, 5, .625, 3, , , 0, 0, 0, 0,2017-18
John Gibson, 24, ANA, 60, 60, 31, 18, 7, 139, 1872, 1733, .926, 2.43, 4, 13.2, 3428, 39, .650, 4, 85, 25.30, 0, 1, 1, 16,2017-18
Jon Gillies, 24, CGY, 11, 9, 3, 5, 1, 29, 280, 251, .896, 2.88, 0, 1.1, 605, 5, .556, 2, , , 0, 0, 0, 2,2017-18
Jeff Glass, 32, CHI, 15, 13, 3, 7, 3, 46, 452, 406, .898, 3.36, 0, 1.8, 821, 5, .385, 2, 116, -6.33, 0, 0, 0, 2,2017-18
Thomas Greiss, 32, NYI, 27, 25, 13, 8, 2, 95, 879, 784, .892, 3.82, 1, 3.0, 1492, 9, .360, 7, 123, -17.85, 0, 0, 0, 0,2017-18
Philipp Grubauer, 26, WSH, 35, 28, 15, 10, 3, 73, 953, 880, .923, 2.35, 3, 6.5, 1865, 19, .679, 3, 87, 10.64, 0, 1, 1, 0,2017-18
Jaroslav Halak, 32, NYI, 54, 49, 20, 26, 6, 161, 1744, 1583, .908, 3.19, 1, 8.9, 3024, 22, .449, 8, 105, -7.93, 0, 0, 0, 4,2017-18
Brandon Halverson, 21, NYR, 1, 0, 0, 0, 0, 1, 6, 5, .833, 4.78, 0, 0.0, 13, 0, , 0, , , 0, 0, 0, 0,2017-18
Andrew Hammond, 29, COL, 1, 1, 0, 1, 0, 2, 33, 31, .939, 2.06, 0, 0.3, 58, 1, 1.000, 0, , , 0, 0, 0, 0,2017-18
Connor Hellebuyck, 24, WPG, 67, 64, 44, 11, 9, 156, 2048, 1892, .924, 2.36, 6, 14.0, 3966, 39, .609, 6, 87, 23.75, 0, 2, 2, 0,2017-18
Adin Hill, 21, ARI, 4, 4, 1, 3, 0, 14, 129, 115, .891, 3.49, 0, 0.4, 241, 2, .500, 1, , , 0, 0, 0, 0,2017-18
Braden Holtby, 28, WSH, 54, 54, 34, 16, 4, 153, 1648, 1495, .907, 2.99, 0, 8.3, 3068, 30, .556, 9, 106, -8.36, 0, 0, 0, 2,2017-18
Jimmy Howard, 33, DET, 60, 57, 22, 27, 9, 160, 1770, 1610, .910, 2.85, 1, 9.4, 3368, 28, .491, 6, 103, -4.65, 0, 1, 1, 10,2017-18
Michael Hutchinson, 27, WPG, 3, 3, 2, 1, 0, 7, 75, 68, .907, 3.26, 0, 0.4, 129, 2, .667, 1, , , 0, 1, 1, 0,2017-18
Carter Hutton, 32, STL, 32, 26, 17, 7, 3, 56, 810, 754, .931, 2.09, 3, 6.2, 1610, 19, .731, 2, 79, 15.09, 0, 0, 0, 2,2017-18
Tristan Jarry, 22, PIT, 26, 23, 14, 6, 2, 63, 687, 624, .908, 2.77, 2, 3.5, 1364, 14, .609, 4, 104, -2.70, 0, 2, 2, 4,2017-18
Chad Johnson, 31, BUF, 36, 29, 10, 16, 3, 105, 962, 857, .891, 3.55, 0, 3.1, 1774, 12, .414, 6, 124, -20.57, 0, 0, 0, 0,2017-18
Martin Jones, 28, SJS, 60, 60, 30, 22, 6, 145, 1699, 1554, .915, 2.55, 4, 9.9, 3416, 36, .600, 9, 97, 4.12, 0, 0, 0, 2,2017-18
Anton Khudobin, 31, BOS, 31, 29, 16, 6, 7, 76, 876, 800, .913, 2.56, 1, 5.0, 1781, 16, .552, 4, 99, 0.89, 0, 2, 2, 2,2017-18
Keith Kinkaid, 28, NJD, 41, 38, 26, 10, 3, 106, 1214, 1108, .913, 2.77, 1, 6.8, 2298, 19, .500, 4, 99, 0.55, 0, 2, 2, 2,2017-18
Joonas Korpisalo, 23, CBJ, 18, 17, 8, 8, 1, 58, 564, 506, .897, 3.32, 0, 2.2, 1049, 7, .412, 3, 117, -8.50, 0, 0, 0, 0,2017-18
Darcy Kuemper, 27, TOT, 29, 25, 12, 7, 5, 67, 833, 766, .920, 2.52, 4, 5.3, 1596, 12, .480, 3, 92, 6.11, 0, 1, 1, 0,2017-18
Darcy Kuemper, 27, LAK, 19, 15, 10, 1, 3, 35, 516, 481, .932, 2.10, 3, 4.0, 999, 9, .600, 1, 77, 10.29, 0, 1, 1, 0,2017-18
Darcy Kuemper, 27, ARI, 10, 10, 2, 6, 2, 32, 317, 285, .899, 3.22, 1, 1.3, 597, 3, .300, 2, , , 0, 0, 0, 0,2017-18
Eddie Lack, 30, TOT, 8, 5, 2, 4, 0, 23, 177, 154, .870, 4.02, 0, 0.2, 343, 1, .200, 2, , , 0, 0, 0, 0,2017-18
Eddie Lack, 30, NJD, 4, 3, 1, 2, 0, 11, 113, 102, .903, 3.18, 0, 0.5, 207, 1, .333, 1, , , 0, 0, 0, 0,2017-18
Eddie Lack, 30, CGY, 4, 2, 1, 2, 0, 12, 64, 52, .813, 5.29, 0, -0.3, 136, 0, .000, 1, , , 0, 0, 0, 0,2017-18
Maxime Lagace, 25, VEG, 16, 14, 6, 7, 1, 57, 430, 373, .867, 3.92, 0, 0.3, 874, 5, .357, 3, 151, -19.26, 0, 0, 0, 0,2017-18
Marek Langhamer, 23, ARI, 1, 0, 0, 0, 0, 0, 10, 10, 1.000, 0.00, 0, 0.2, 29, 0, , 0, , , 0, 0, 0, 0,2017-18
Robin Lehner, 26, BUF, 53, 50, 14, 26, 9, 143, 1560, 1417, .908, 3.01, 3, 8.0, 2852, 24, .480, 8, 104, -6.08, 0, 0, 0, 2,2017-18
Kari Lehtonen, 34, DAL, 37, 30, 15, 14, 3, 83, 946, 863, .912, 2.56, 1, 5.3, 1944, 19, .633, 7, 100, 0.03, 0, 0, 0, 4,2017-18
Charlie Lindgren, 24, MTL, 14, 14, 4, 8, 2, 42, 457, 415, .908, 3.03, 2, 2.3, 833, 9, .643, 5, 105, -1.89, 0, 0, 0, 2,2017-18
Henrik Lundqvist, 35, NYR, 63, 61, 26, 26, 7, 174, 2036, 1862, .915, 2.98, 2, 11.9, 3503, 32, .525, 9, 97, 4.70, 0, 1, 1, 0,2017-18
