Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,GAA,SO,GPS,MIN,QS,RBS,GSAA,G,A,PTS,PIM,Season,SV%,QS%,GA%
Jack Norris,28, LAK,25,0,7,11,2,85,762,677,3.91,0,1.9,1305,0,0,-11.27,0,0,0,0,1970-71,0.888,0.0,115
Bernie Parent*,25, TOT,48,0,16,19,9,119,1373,1254,2.73,2,8.6,2617,0,0,13.85,0,2,2,5,1970-71,0.9129999999999999,0.0,90
Bernie Parent*,25, PHI,30,0,9,12,6,73,825,752,2.77,2,5.1,1581,0,0,6.82,0,0,0,5,1970-71,0.912,0.0,91
Bernie Parent*,25, TOR,18,0,7,7,3,46,548,502,2.66,0,3.5,1036,0,0,7.02,0,0,0,0,1970-71,0.9159999999999999,0.0,87
Jacques Plante*,42, TOR,40,0,24,11,4,73,1297,1224,1.89,4,10.6,2323,0,0,52.49,0,0,0,2,1970-71,0.9440000000000001,0.0,58
Michel Plasse,22, STL,1,0,1,0,0,3,36,33,3.0,0,0.2,60,0,0,0.0,0,0,0,0,1970-71,0.917,0.0,0
Jim Rutherford,21, DET,29,0,7,15,3,94,761,667,3.77,1,2.5,1495,0,0,-20.37,0,0,0,0,1970-71,0.8759999999999999,0.0,128
Al Smith,25, PIT,45,0,9,22,9,128,1256,1128,3.11,2,6.7,2471,0,0,-6.47,0,0,0,26,1970-71,0.898,0.0,105
Gary Smith,26, CGS,71,0,19,48,4,256,2226,1970,3.86,2,6.2,3975,0,0,-40.62,0,1,1,6,1970-71,0.885,0.0,119
Bob Sneddon,26, CGS,7,0,0,2,0,21,127,106,5.63,0,-0.3,224,0,0,0.0,0,0,0,0,1970-71,0.835,0.0,0
Rogie Vachon*,25, MTL,47,0,23,12,9,118,1370,1252,2.65,2,9.1,2675,0,0,14.56,0,0,0,0,1970-71,0.914,0.0,89
Gilles Villemure,30, NYR,34,0,22,8,4,78,966,888,2.3,4,8.0,2036,0,0,15.47,0,0,0,0,1970-71,0.919,0.0,83
Ernie Wakely,30, STL,51,0,20,14,11,133,1356,1223,2.79,3,9.1,2858,0,0,-1.8,0,1,1,0,1970-71,0.902,0.0,101
